degree_id,course_id,prereq_course_id
cs,CS201,CS101
cs,CS210,CS110
cs,CS220,CS201
cs,MATH201,MATH101
cs,CS310,CS201
cs,CS320,CS210
cs,CS320,CS220
cs,CS330,CS320
cs,CS401_SWE,CS310
cs,CS401_SWE,CS320
cs,CS315,CS201
cs,CS315,MATH201
cs,CS325,CS315
cs,CS335,CS325
cs,CS401_AI,CS315
cs,CS401_AI,CS325
ds,CS201,CS101
ds,STAT201,STAT101
ds,DS210,CS101
ds,MATH201,MATH101
ds,DS310,CS201
ds,DS310,STAT201
ds,DS320,DS310
ds,DS330,DS310
ds,DS401_ML,DS320
ds,DS401_ML,DS330
ds,DS315,DS210
ds,DS325,DS315
ds,DS335,DS315
ds,DS401_DE,DS325
ds,DS401_DE,DS335
bus,BUS201,BUS101
bus,ECON201,ECON101
bus,BUS210,BUS101
bus,STAT201,STAT101
bus,BUS310,BUS101
bus,BUS320,BUS310
bus,BUS320,STAT201
bus,BUS330,BUS310
bus,BUS401_MKT,BUS320
bus,BUS401_MKT,BUS330
bus,BUS315,BUS201
bus,BUS325,BUS315
bus,BUS340,BUS315
bus,BUS401_FIN,BUS325
bus,BUS401_FIN,BUS340
psych,PSY201,PSY101
psych,PSY201,STAT101
psych,PSY210,PSY101
psych,PSY220,PSY101
psych,PSY220,BIO101
psych,STAT201,STAT101
psych,PSY310,PSY201
psych,PSY320,PSY310
psych,PSY330,PSY310
psych,PSY401_CLIN,PSY320
psych,PSY401_CLIN,PSY330
psych,PSY315,PSY201
psych,PSY325,PSY315
psych,PSY335,PSY315
psych,PSY401_COG,PSY325
psych,PSY401_COG,PSY335
bio,BIO201,BIO101
bio,BIO210,BIO101
bio,BIO210,CHEM101
bio,CHEM201,CHEM101
bio,BIO220,BIO101
bio,BIO310,BIO201
bio,BIO310,BIO210
bio,BIO320,BIO310
bio,BIO320,CHEM201
bio,BIO330,BIO310
bio,BIO401_MOL,BIO320
bio,BIO401_MOL,BIO330
bio,BIO315,BIO220
bio,BIO325,BIO315
bio,BIO340,BIO315
bio,BIO401_ECO,BIO325
bio,BIO401_ECO,BIO340
